"Trait"	"Predictor"	"Coef"	"St.error"	"t.value"	"P.value"	"Class"
"nodule_number_per_plant"	"genohcl"	-123.866666666666	81.3154692547256	-1.52328539454955	0.134533145199675	"None"
"nodule_number_per_plant"	"genoipd3"	-109.391402731963	86.6575307970572	-1.26234156138312	0.213188413981566	"None"
"nodule_number_per_plant"	"genolatd"	-224.10773602037	144.146712315391	-1.55471971868513	0.126866774928473	"None"
"nodule_number_per_plant"	"genonad1"	35.2546654100425	94.8721465939682	0.371601852342655	0.711895552895206	"None"
"nodule_number_per_plant"	"genodnf1"	6.84060207285556	86.6382618005969	0.0789559015922966	0.937410177658387	"None"
"nodule_number_per_plant"	"genodnf2"	116.966666666666	81.3154692547252	1.43843069146243	0.157081276953299	"None"
"nodule_number_per_plant"	"genodnf3"	159.666666666667	81.3154692547255	1.96354602795812	0.055644040912566	"None"
"nodule_number_per_plant"	"genodnf4"	306.376038955217	109.434159741824	2.7996380625393	0.00745336579784186	"Up"
"nodule_number_per_plant"	"genodnf6"	272.866666666667	81.3154692547255	3.35565506990922	0.00159487600866905	"Up"
"nodule_number_per_plant"	"genodnf7"	-28.6999999999997	81.3154692547255	-0.352946373710214	0.725740898117871	"None"
"nodule_number_per_plant"	"genodnf1/dnf2"	98.5587303180105	86.6878019949883	1.13693885471578	0.261451887858427	"None"
"nodule_number_per_plant"	"genodnf5/dnf2"	98.5666666666669	81.3154692547254	1.2121514832301	0.231643752753492	"None"
"nodule_number_per_plant"	"genordn1"	578.778659003618	94.902006204687	6.09869782684356	2.05938571350008e-07	"Up"
"nodule_number_per_plant"	"genosunn1"	187.266666666667	81.3154692547254	2.30296484030663	0.0258537134763669	"Up"
"nodule_number_per_plant"	"genosunn4"	246.866666666667	81.3154692547255	3.03591271045049	0.00393983404025325	"Up"
"average_area_per_nodule"	"genohcl"	0.00842540268472467	0.0020591391963895	4.09171108951632	0.000201520688864316	"Up"
"average_area_per_nodule"	"genoipd3"	-0.00387324067609632	0.00219461667213253	-1.76488255342225	0.085218071371491	"None"
"average_area_per_nodule"	"genolatd"	-0.00228341532912025	0.00366798950789096	-0.622525043817035	0.537129646100357	"None"
"average_area_per_nodule"	"genonad1"	-0.00314376091926626	0.00240598271291222	-1.30664318675051	0.19879691402964	"None"
"average_area_per_nodule"	"genodnf1"	0.000875788863612275	0.0024049634551444	0.364158907171291	0.717657338032839	"None"
"average_area_per_nodule"	"genodnf2"	-0.00333079309453098	0.00205913919638951	-1.61756577718067	0.113616226917658	"None"
"average_area_per_nodule"	"genodnf3"	-0.00177681070307068	0.00219461667213254	-0.809622348008561	0.422947503827386	"None"
"average_area_per_nodule"	"genodnf4"	-0.000256081705261371	0.0036756114816981	-0.0696705042239838	0.944803064912658	"None"
"average_area_per_nodule"	"genodnf6"	-0.00151983354305662	0.00205913919638951	-0.738091696628132	0.464767238238647	"None"
"average_area_per_nodule"	"genodnf7"	-0.00360315732286571	0.00205913919638951	-1.74983669349963	0.0878153074336401	"None"
"average_area_per_nodule"	"genodnf1/dnf2"	-0.00349321023796573	0.0021965104927762	-1.59034534524377	0.119630560969643	"None"
"average_area_per_nodule"	"genodnf5/dnf2"	-0.00336964445198006	0.00205913919638951	-1.63643354363241	0.10959419059908	"None"
"average_area_per_nodule"	"genordn1"	-2.99199886207536e-05	0.0036756114816981	-0.00814013906794382	0.993545644058642	"None"
"average_area_per_nodule"	"genosunn1"	0.00360259892179872	0.00205913919638951	1.7495655117029	0.0878627205201473	"None"
"average_area_per_nodule"	"genosunn4"	0.00233646708232389	0.0021965104927762	1.06371769677767	0.293836222457136	"None"
"total_nodulated_area_per_plant"	"genohcl"	0.00406666666666569	0.236859148501685	0.0171691348735755	0.986387040701414	"None"
"total_nodulated_area_per_plant"	"genoipd3"	-0.887615234903571	0.25244288349246	-3.51610321758221	0.00110546416302234	"Down"
"total_nodulated_area_per_plant"	"genolatd"	-0.847843127170383	0.421922361089293	-2.00947663684256	0.0512667517476317	"None"
"total_nodulated_area_per_plant"	"genonad1"	-0.712395341118509	0.276755946217423	-2.57409226741181	0.0138596191961962	"Down"
"total_nodulated_area_per_plant"	"genodnf1"	0.380866899845806	0.276638702794826	1.37676650446226	0.176241946409025	"None"
"total_nodulated_area_per_plant"	"genodnf2"	-0.533033333333336	0.236859148501685	-2.2504232439624	0.0299895440567623	"Down"
"total_nodulated_area_per_plant"	"genodnf3"	0.1103954033943	0.252442883492461	0.437308439307211	0.664239739566633	"None"
"total_nodulated_area_per_plant"	"genodnf4"	0.312464649855206	0.422799103287696	0.739038109176376	0.464198756425631	"None"
